Entity,Code,Year,status
Afghanistan,AFG,2021,Not on track to 40% vaccinated
Africa,,2021,Not on track to 40% vaccinated
Albania,ALB,2021,On track to 40% vaccinated
Algeria,DZA,2021,Not on track to 40% vaccinated
Andorra,AND,2021,Already above 40% vaccinated
Angola,AGO,2021,Not on track to 40% vaccinated
Anguilla,AIA,2021,Already above 40% vaccinated
Antigua and Barbuda,ATG,2021,Already above 40% vaccinated
Argentina,ARG,2021,Already above 40% vaccinated
Armenia,ARM,2021,Not on track to 40% vaccinated
Aruba,ABW,2021,Already above 40% vaccinated
Asia,,2021,Already above 40% vaccinated
Australia,AUS,2021,Already above 40% vaccinated
Austria,AUT,2021,Already above 40% vaccinated
Azerbaijan,AZE,2021,Already above 40% vaccinated
Bahamas,BHS,2021,On track to 40% vaccinated
Bahrain,BHR,2021,Already above 40% vaccinated
Bangladesh,BGD,2021,Not on track to 40% vaccinated
Barbados,BRB,2021,Already above 40% vaccinated
Belarus,BLR,2021,Not on track to 40% vaccinated
Belgium,BEL,2021,Already above 40% vaccinated
Belize,BLZ,2021,Already above 40% vaccinated
Benin,BEN,2021,Not on track to 40% vaccinated
Bermuda,BMU,2021,Already above 40% vaccinated
Bhutan,BTN,2021,Already above 40% vaccinated
Bolivia,BOL,2021,On track to 40% vaccinated
Bonaire Sint Eustatius and Saba,BES,2021,Already above 40% vaccinated
Bosnia and Herzegovina,BIH,2021,Not on track to 40% vaccinated
Botswana,BWA,2021,Not on track to 40% vaccinated
Brazil,BRA,2021,Already above 40% vaccinated
British Virgin Islands,VGB,2021,Already above 40% vaccinated
Brunei,BRN,2021,Already above 40% vaccinated
Burkina Faso,BFA,2021,Not on track to 40% vaccinated
Cambodia,KHM,2021,Already above 40% vaccinated
Cameroon,CMR,2021,Not on track to 40% vaccinated
Canada,CAN,2021,Already above 40% vaccinated
Cape Verde,CPV,2021,Already above 40% vaccinated
Cayman Islands,CYM,2021,Already above 40% vaccinated
Central African Republic,CAF,2021,Not on track to 40% vaccinated
Chad,TCD,2021,Not on track to 40% vaccinated
Chile,CHL,2021,Already above 40% vaccinated
China,CHN,2021,Already above 40% vaccinated
Colombia,COL,2021,Already above 40% vaccinated
Comoros,COM,2021,Not on track to 40% vaccinated
Congo,COG,2021,Not on track to 40% vaccinated
Cook Islands,COK,2021,Already above 40% vaccinated
Costa Rica,CRI,2021,Already above 40% vaccinated
Cote d'Ivoire,CIV,2021,Not on track to 40% vaccinated
Croatia,HRV,2021,Already above 40% vaccinated
Cuba,CUB,2021,Already above 40% vaccinated
Curacao,CUW,2021,Already above 40% vaccinated
Cyprus,CYP,2021,Already above 40% vaccinated
Czechia,CZE,2021,Already above 40% vaccinated
Democratic Republic of Congo,COD,2021,Not on track to 40% vaccinated
Denmark,DNK,2021,Already above 40% vaccinated
Djibouti,DJI,2021,Not on track to 40% vaccinated
Dominica,DMA,2021,On track to 40% vaccinated
Dominican Republic,DOM,2021,Already above 40% vaccinated
Ecuador,ECU,2021,Already above 40% vaccinated
Egypt,EGY,2021,Not on track to 40% vaccinated
El Salvador,SLV,2021,Already above 40% vaccinated
England,,2021,Already above 40% vaccinated
Equatorial Guinea,GNQ,2021,Not on track to 40% vaccinated
Estonia,EST,2021,Already above 40% vaccinated
Eswatini,SWZ,2021,Not on track to 40% vaccinated
Ethiopia,ETH,2021,Not on track to 40% vaccinated
Europe,,2021,Already above 40% vaccinated
European Union,,2021,Already above 40% vaccinated
Faeroe Islands,FRO,2021,Already above 40% vaccinated
Falkland Islands,FLK,2021,Already above 40% vaccinated
Fiji,FJI,2021,Already above 40% vaccinated
Finland,FIN,2021,Already above 40% vaccinated
France,FRA,2021,Already above 40% vaccinated
French Polynesia,PYF,2021,Already above 40% vaccinated
Gabon,GAB,2021,Not on track to 40% vaccinated
Gambia,GMB,2021,Not on track to 40% vaccinated
Georgia,GEO,2021,On track to 40% vaccinated
Germany,DEU,2021,Already above 40% vaccinated
Ghana,GHA,2021,Not on track to 40% vaccinated
Gibraltar,GIB,2021,Already above 40% vaccinated
Greece,GRC,2021,Already above 40% vaccinated
Greenland,GRL,2021,Already above 40% vaccinated
Grenada,GRD,2021,On track to 40% vaccinated
Guatemala,GTM,2021,On track to 40% vaccinated
Guernsey,GGY,2021,Already above 40% vaccinated
Guinea,GIN,2021,Not on track to 40% vaccinated
Guinea-Bissau,GNB,2021,Not on track to 40% vaccinated
Guyana,GUY,2021,Already above 40% vaccinated
Haiti,HTI,2021,Not on track to 40% vaccinated
High income,,2021,Already above 40% vaccinated
Honduras,HND,2021,Not on track to 40% vaccinated
Hong Kong,HKG,2021,Already above 40% vaccinated
Hungary,HUN,2021,Already above 40% vaccinated
Iceland,ISL,2021,Already above 40% vaccinated
India,IND,2021,Already above 40% vaccinated
Indonesia,IDN,2021,On track to 40% vaccinated
Iran,IRN,2021,On track to 40% vaccinated
Iraq,IRQ,2021,Not on track to 40% vaccinated
Ireland,IRL,2021,Already above 40% vaccinated
Isle of Man,IMN,2021,Already above 40% vaccinated
Israel,ISR,2021,Already above 40% vaccinated
Italy,ITA,2021,Already above 40% vaccinated
Jamaica,JAM,2021,Not on track to 40% vaccinated
Japan,JPN,2021,Already above 40% vaccinated
Jersey,JEY,2021,Already above 40% vaccinated
Jordan,JOR,2021,On track to 40% vaccinated
Kazakhstan,KAZ,2021,On track to 40% vaccinated
Kenya,KEN,2021,Not on track to 40% vaccinated
Kiribati,KIR,2021,On track to 40% vaccinated
Kosovo,OWID_KOS,2021,On track to 40% vaccinated
Kuwait,KWT,2021,Already above 40% vaccinated
Kyrgyzstan,KGZ,2021,Not on track to 40% vaccinated
